Course Code|Course Description|Grade|Pathway or Destination|Enrolment
PHA4T|Client Care Issues|Grade 12|College Delivered (Dual Credits)|25
PHF4T|Emergency Patient Care|Grade 12|College Delivered (Dual Credits)|195
PHG4T|PSW Foundations|Grade 12|College Delivered (Dual Credits)|20
PHH4T|Patient Care|Grade 12|College Delivered (Dual Credits)|<10
PHJ4T|Health Sciences Careers|Grade 12|College Delivered (Dual Credits)|50
PHM4T|Health Care in Canada|Grade 12|College Delivered (Dual Credits)|45
PHS4T|Medical Terminology|Grade 12|College Delivered (Dual Credits)|80
PHW4T|Anatomy and Physiology|Grade 12|College Delivered (Dual Credits)|180
PHY4T|Medical Terminology|Grade 12|College Delivered (Dual Credits)|<10
PLF4M|Recreation and Healthy Active Living Leadership, Grade 12|Grade 12|University/College Preparation (Grade 11 & 12 level)|16920
PLG4T|Fitness and Leisure Management|Grade 12|College Delivered (Dual Credits)|25
PLI4T|Fitness|Grade 12|College Delivered (Dual Credits)|60
PLJ4T|Activity Leadership|Grade 12|College Delivered (Dual Credits)|65
PLK4T|Journey to Great Health and Fitness|Grade 12|College Delivered (Dual Credits)|55
PLP4T|Foundations of Exercise Training|Grade 12|College Delivered (Dual Credits)|15
PPA4T|Addictions|Grade 12|College Delivered (Dual Credits)|55
PPF1O|Vie active et santé (filles)|Grade 9|Open (Grade 9 - 12 level)|220
PPF2O|Vie active et santé (filles)|Grade 10|Open (Grade 9 - 12 level)|40
PPG4T|Exploration en santé|Grade 12|College Delivered (Dual Credits)|40
PPH4T|Lifestyle Management|Grade 12|College Delivered (Dual Credits)|125
PPI4T|Health and Wellness|Grade 12|College Delivered (Dual Credits)|160
PPJ4T|Stress, Wellness and Nutrition|Grade 12|College Delivered (Dual Credits)|140
PPK4T|Health Awareness|Grade 12|College Delivered (Dual Credits)|50
PPL1O|Healthy Active Living Education|Grade 9|Open (Grade 9 - 12 level)|132200
PPL2O|Healthy Active Living Education|Grade 10|Open (Grade 9 - 12 level)|49070
PPL3O|Healthy Active Living Education|Grade 11|Open (Grade 9 - 12 level)|34855
PPL4O|Healthy Active Living Education|Grade 12|Open (Grade 9 - 12 level)|18485
PPM1O|Vie active et santé (garçons)|Grade 9|Open (Grade 9 - 12 level)|165
PPM2O|Vie active et santé (garçons)|Grade 10|Open (Grade 9 - 12 level)|70
PPO4T|Health and Safety|Grade 12|College Delivered (Dual Credits)|20
PPR4T|Health Literacy: From Individual to Communities|Grade 12|College Delivered (Dual Credits)|50
PPU4T|Health and Wellness Safety Awareness Training|Grade 12|College Delivered (Dual Credits)|50
PPV4T|Health and Wellness for Children|Grade 12|College Delivered (Dual Credits)|20
PPZ3C|Health for Life|Grade 11|College Preparation (Grade 11 & 12 level)|8315
PPZ3O|Health for Life|Grade 11|Open (Grade 9 - 12 level)|30
PSA4T|Applied Anatomy and Kinesiology|Grade 12|College Delivered (Dual Credits)|<10
PSK4U|Introductory Kinesiology|Grade 12|University Preparation (Grade 11 & 12 level)|17240
SBI3C|Biology|Grade 11|College Preparation (Grade 11 & 12 level)|14050
SBI3U|Biology|Grade 11|University Preparation (Grade 11 & 12 level)|67790
SBI4U|Biology|Grade 12|University Preparation (Grade 11 & 12 level)|40680
SCH3U|Chemistry|Grade 11|University Preparation (Grade 11 & 12 level)|74060
SCH4C|Chemistry|Grade 12|College Preparation (Grade 11 & 12 level)|8185
SCH4U|Chemistry|Grade 12|University Preparation (Grade 11 & 12 level)|48235
SES4U|Earth and Space Science|Grade 12|University Preparation (Grade 11 & 12 level)|4075
SNC1D|Science|Grade 9|Academic (Grade 9 & 10 level)|90
SNC1P|Science|Grade 9|Applied (Grade 9 & 10 level)|90
SNC1W|Science|Grade 9|Destreamed Guideline Course|159010
SNC2D|Science|Grade 10|Academic (Grade 9 & 10 level)|131815
SNC2P|Science|Grade 10|Applied (Grade 9 & 10 level)|26375
SNC3M|Science|Grade 11|University/College Preparation (Grade 11 & 12 level)|20
SNC4E|Science|Grade 12|Workplace Preparation (Grade 11 & 12 level)|1275
SNC4M|Science|Grade 12|University/College Preparation (Grade 11 & 12 level)|4930
SNG4T|Forensic Science|Grade 12|College Delivered (Dual Credits)|80
SPH3U|Physics|Grade 11|University Preparation (Grade 11 & 12 level)|52695
SPH4C|Physics|Grade 12|College Preparation (Grade 11 & 12 level)|4650
SPH4U|Physics|Grade 12|University Preparation (Grade 11 & 12 level)|30030
SVC4T|Geotechnical Drilling|Grade 12|College Delivered (Dual Credits)|15
SVI4T|Environmental Concerns|Grade 12|College Delivered (Dual Credits)|65
SVL4T|Environmental and Natural Resource Studies|Grade 12|College Delivered (Dual Credits)|10
SVN3E|Environmental Science|Grade 11|Workplace Preparation (Grade 11 & 12 level)|5575
SVN3M|Environmental Science|Grade 11|University/College Preparation (Grade 11 & 12 level)|4165
SVP4T|Ecosystem Skills|Grade 12|College Delivered (Dual Credits)|80
TAB4T|Introduction to AutoCAD|Grade 12|College Delivered (Dual Credits)|25
TAE4T|CAD for the Building Trades|Grade 12|College Delivered (Dual Credits)|20
TAM4T|Concepts Mechanical CAD|Grade 12|College Delivered (Dual Credits)|20
TAP4T|Technological Studies|Grade 12|College Delivered (Dual Credits)|20
TBB4T|Architectural Drafting|Grade 12|College Delivered (Dual Credits)|45
TBC4T|Technical Drawings|Grade 12|College Delivered (Dual Credits)|10
TBO4T|Residential Prints and Standards|Grade 12|College Delivered (Dual Credits)|45
TBQ4T|Graphic Design Principles|Grade 12|College Delivered (Dual Credits)|25
TBX4T|Graphic Design|Grade 12|College Delivered (Dual Credits)|20
TCC3E|Construction Technology: Carpentry|Grade 11|Workplace Preparation (Grade 11 & 12 level)|805
TCC4E|Construction Technology: Carpentry|Grade 12|Workplace Preparation (Grade 11 & 12 level)|220
TCD4T|Principe de plomberie et de tuyautage|Grade 12|College Delivered (Dual Credits)|25
TCE3E|Construction Technology: Electrical/Network Cabling|Grade 11|Workplace Preparation (Grade 11 & 12 level)|1000
TCE4E|Construction Technology: Electrical/Network Cabling|Grade 12|Workplace Preparation (Grade 11 & 12 level)|310
TCH3E|Construction Technology: Heating and Cooling|Grade 11|Workplace Preparation (Grade 11 & 12 level)|75
TCH4E|Construction Technology: Heating and Cooling|Grade 12|Workplace Preparation (Grade 11 & 12 level)|20
TCJ1O|Exploring Construction Technology|Grade 9|Open (Grade 9 - 12 level)|2285
TCJ2O|Construction Technology|Grade 10|Open (Grade 9 - 12 level)|21770
TCJ3C|Construction Engineering Technology|Grade 11|College Preparation (Grade 11 & 12 level)|18475
TCJ3E|Construction Technology|Grade 11|Workplace Preparation (Grade 11 & 12 level)|4735
TCJ4C|Construction Engineering Technology|Grade 12|College Preparation (Grade 11 & 12 level)|6360
TCJ4E|Construction Technology|Grade 12|Workplace Preparation (Grade 11 & 12 level)|1670
TCM3E|Construction Technology: Masonry|Grade 11|Workplace Preparation (Grade 11 & 12 level)|120
TCM4E|Construction Technology: Masonry|Grade 12|Workplace Preparation (Grade 11 & 12 level)|65
TCN4T|Heating and Plumbing System|Grade 12|College Delivered (Dual Credits)|55
TCP3E|Construction Technology: Plumbing|Grade 11|Workplace Preparation (Grade 11 & 12 level)|170
TCP4E|Construction Technology: Plumbing|Grade 12|Workplace Preparation (Grade 11 & 12 level)|65
TCQ4T|Interior Finishing|Grade 12|College Delivered (Dual Credits)|80
TCR4T|Sprinklers|Grade 12|College Delivered (Dual Credits)|25
TCS3C|Construction Engineering Technology: Construction Management and Science|Grade 11|College Preparation (Grade 11 & 12 level)|70
TCS4C|Construction Engineering Technology: Construction Management and Science|Grade 12|College Preparation (Grade 11 & 12 level)|50
TCT4T|Refrigeration|Grade 12|College Delivered (Dual Credits)|35
TCV4Y|Floor Covering Installer|Grade 12|Apprenticeship Program (Dual Credits)|<10
TCY3C|Construction Engineering Technology: Civil Engineering|Grade 11|College Preparation (Grade 11 & 12 level)|20
TCY4C|Construction Engineering Technology: Civil Engineering|Grade 12|College Preparation (Grade 11 & 12 level)|<10
TDA3M|Technological Design: Architectural Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|1405
TDA4M|Technological Design: Architectural Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|605
TDD4T|Blueprint Reading|Grade 12|College Delivered (Dual Credits)|20
TDJ1O|Exploring Technology Design|Grade 9|Open (Grade 9 - 12 level)|1370
TDJ2O|Technological Design|Grade 10|Open (Grade 9 - 12 level)|11270
TDJ3M|Technological Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|11505
TDJ3O|Technological Design and the Environment|Grade 11|Open (Grade 9 - 12 level)|760
TDJ4M|Technological Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|4040
TDJ4O|Technological Design in the 21st Century|Grade 12|Open (Grade 9 - 12 level)|255
TDM3M|Technological Design: Mechanical and Industrial Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|85
TDM4M|Technological Design: Mechanical and Industrial Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|60
TDP3M|Technological Design: Apparel and Textile Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|215
TDP4M|Technological Design: Apparel and Textile Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|60
TDR3M|Technological Design: Robotics and Control Systems Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|450
TDR4M|Technological Design: Robotics and Control Systems Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|150
TDV3M|Technological Design: Interior Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|570
TDV4M|Technological Design: Interior Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|165
TEA4T|Network|Grade 12|College Delivered (Dual Credits)|20
TEC3E|Computer Technology: Computer Repair|Grade 11|Workplace Preparation (Grade 11 & 12 level)|20
TEC4E|Computer Technology: Computer Repair|Grade 12|Workplace Preparation (Grade 11 & 12 level)|<10
TEH4T|Computers|Grade 12|College Delivered (Dual Credits)|15
TEI3M|Computer Engineering Technology: Interfacing|Grade 11|University/College Preparation (Grade 11 & 12 level)|15
TEI4M|Computer Engineering Technology: Interfacing|Grade 12|University/College Preparation (Grade 11 & 12 level)|<10
TEJ1O|Exploring Computer Technology|Grade 9|Open (Grade 9 - 12 level)|3035
TEJ2O|Computer Technology|Grade 10|Open (Grade 9 - 12 level)|8395
TEJ3E|Computer Technology|Grade 11|Workplace Preparation (Grade 11 & 12 level)|310
TEJ3M|Computer Engineering Technology|Grade 11|University/College Preparation (Grade 11 & 12 level)|8960
TEJ4E|Computer Technology|Grade 12|Workplace Preparation (Grade 11 & 12 level)|20
TEJ4M|Computer Engineering Technology|Grade 12|University/College Preparation (Grade 11 & 12 level)|3875
TEL3M|Computer Engineering Technology: Electronics|Grade 11|University/College Preparation (Grade 11 & 12 level)|180
TEL4M|Computer Engineering Technology: Electronics|Grade 12|University/College Preparation (Grade 11 & 12 level)|105
TEN3M|Computer Engineering Technology: Networking|Grade 11|University/College Preparation (Grade 11 & 12 level)|65
TEN4M|Computer Engineering Technology: Networking|Grade 12|University/College Preparation (Grade 11 & 12 level)|30
TEP4T|Practical Electronics|Grade 12|College Delivered (Dual Credits)|<10
TER3M|Computer Engineering Technology: Robotics and Control Systems|Grade 11|University/College Preparation (Grade 11 & 12 level)|1245
TER4M|Computer Engineering Technology: Robotics and Control Systems|Grade 12|University/College Preparation (Grade 11 & 12 level)|575
TES4T|Electronic Lab|Grade 12|College Delivered (Dual Credits)|45
TFA4T|Introduction to Hospitality|Grade 12|College Delivered (Dual Credits)|<10
TFB3E|Hospitality and Tourism: Baking|Grade 11|Workplace Preparation (Grade 11 & 12 level)|3560
TFB4E|Hospitality and Tourism: Baking|Grade 12|Workplace Preparation (Grade 11 & 12 level)|950
TFC3E|Hospitality and Tourism: Cooking|Grade 11|Workplace Preparation (Grade 11 & 12 level)|1725
TFC4E|Hospitality and Tourism: Cooking|Grade 12|Workplace Preparation (Grade 11 & 12 level)|730
TFD4T|Hospitality Services|Grade 12|College Delivered (Dual Credits)|15
TFE3E|Hospitality and Tourism: Event Planning|Grade 11|Workplace Preparation (Grade 11 & 12 level)|140
TFE4E|Hospitality and Tourism: Event Planning|Grade 12|Workplace Preparation (Grade 11 & 12 level)|25
TFF4T|International Culinary Appreciation|Grade 12|College Delivered (Dual Credits)|25
TFG4T|Event Planning and Delivery|Grade 12|College Delivered (Dual Credits)|105
TFJ1O|Exploring Hospitality and Tourism|Grade 9|Open (Grade 9 - 12 level)|3245
TFJ2O|Hospitality and Tourism|Grade 10|Open (Grade 9 - 12 level)|18015
TFJ3C|Hospitality and Tourism|Grade 11|College Preparation (Grade 11 & 12 level)|11190
TFJ3E|Hospitality and Tourism|Grade 11|Workplace Preparation (Grade 11 & 12 level)|3300
TFJ4C|Hospitality and Tourism|Grade 12|College Preparation (Grade 11 & 12 level)|3170
TFJ4E|Hospitality and Tourism|Grade 12|Workplace Preparation (Grade 11 & 12 level)|1190
TFL4T|Dining Room|Grade 12|College Delivered (Dual Credits)|25
TFN3C|Hospitality and Tourism: Applied Nutrition|Grade 11|College Preparation (Grade 11 & 12 level)|155
TFN4C|Hospitality and Tourism: Applied Nutrition|Grade 12|College Preparation (Grade 11 & 12 level)|55
TFO4T|Hospitality and Tourism|Grade 12|College Delivered (Dual Credits)|20
TFP4T|Hospitality and Tourism Management|Grade 12|College Delivered (Dual Credits)|<10
TFQ4T|Exploring the Restaurant Industry|Grade 12|College Delivered (Dual Credits)|<10
TFR3C|Hospitality and Tourism: Culinary Arts and Management|Grade 11|College Preparation (Grade 11 & 12 level)|720
TFR4C|Hospitality and Tourism: Culinary Arts and Management|Grade 12|College Preparation (Grade 11 & 12 level)|370
TFS4C|Tourism|Grade 12|College Preparation (Grade 11 & 12 level)|<10
TFT3C|Hospitality and Tourism: Tourism and Travel Planning|Grade 11|College Preparation (Grade 11 & 12 level)|150
TFT4C|Hospitality and Tourism: Tourism and Travel Planning|Grade 12|College Preparation (Grade 11 & 12 level)|<10
TFY4T|Professional Customer Service|Grade 12|College Delivered (Dual Credits)|15
TGA4T|Animation|Grade 12|College Delivered (Dual Credits)|35
TGB4T|Graphic Design - Computer Imagery|Grade 12|College Delivered (Dual Credits)|10
TGC4T|Digital Imaging|Grade 12|College Delivered (Dual Credits)|75
TGE4T|Radio Reporting|Grade 12|College Delivered (Dual Credits)|20
TGF4T|Digital Audio Recording|Grade 12|College Delivered (Dual Credits)|15
TGG3M|Communications Technology: Print and Graphic Communications|Grade 11|University/College Preparation (Grade 11 & 12 level)|2060
TGG4M|Communications Technology: Print and Graphic Communications|Grade 12|University/College Preparation (Grade 11 & 12 level)|1510
TGH4T|Introduction to Animation|Grade 12|College Delivered (Dual Credits)|20
TGI3M|Communications Technology: Interactive New Media and Animation|Grade 11|University/College Preparation (Grade 11 & 12 level)|950
TGI4M|Communications Technology: Interactive New Media and Animation|Grade 12|University/College Preparation (Grade 11 & 12 level)|435
TGJ1O|Exploring Communications Technology|Grade 9|Open (Grade 9 - 12 level)|3190
TGJ2O|Communications Technology|Grade 10|Open (Grade 9 - 12 level)|12870
TGJ3M|Communications Technology|Grade 11|University/College Preparation (Grade 11 & 12 level)|12140
TGJ3O|Communications Technology: Broadcast and Print Production|Grade 11|Open (Grade 9 - 12 level)|830
TGJ4M|Communications Technology|Grade 12|University/College Preparation (Grade 11 & 12 level)|5510
TGJ4O|Communications Technology: Digital Imagery and Web Design|Grade 12|Open (Grade 9 - 12 level)|635
TGO4T|TV Production|Grade 12|College Delivered (Dual Credits)|30
TGP3M|Communications Technology: Photography and Digital Imaging|Grade 11|University/College Preparation (Grade 11 & 12 level)|2900
TGP4M|Communications Technology: Photography and Digital Imaging|Grade 12|University/College Preparation (Grade 11 & 12 level)|1290
TGQ4T|Introduction to Studio Production|Grade 12|College Delivered (Dual Credits)|45
TGR3M|Communications Technology: Radio, Audio and Sound Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|100
TGR4M|Communications Technology: Radio, Audio and Sound Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|65
TGT4T|Public Safety - Communications Technology|Grade 12|College Delivered (Dual Credits)|20
TGV3M|Communications Technology: TV, Video and Movie Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|2365
TGV4M|Communications Technology: TV, Video and Movie Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1485
THA3M|Green Industries: Agribusiness|Grade 11|University/College Preparation (Grade 11 & 12 level)|70
THA4M|Green Industries: Agribusiness|Grade 12|University/College Preparation (Grade 11 & 12 level)|<10
THB4T|Machinerie agricole et agriculture de précision|Grade 12|College Delivered (Dual Credits)|<10
THD3M|Green Industries: Landscaping and Architecture|Grade 11|University/College Preparation (Grade 11 & 12 level)|105
THD4M|Green Industries: Landscaping and Architecture|Grade 12|University/College Preparation (Grade 11 & 12 level)|10
THF3E|Green Industries: Floristry|Grade 11|Workplace Preparation (Grade 11 & 12 level)|65
THF4E|Green Industries: Floristry|Grade 12|Workplace Preparation (Grade 11 & 12 level)|10
THG3E|Green Industries: Agriculture|Grade 11|Workplace Preparation (Grade 11 & 12 level)|35
THG4E|Green Industries: Agriculture|Grade 12|Workplace Preparation (Grade 11 & 12 level)|<10
THH3E|Green Industries: Horticulture|Grade 11|Workplace Preparation (Grade 11 & 12 level)|190
THH4E|Green Industries: Horticulture|Grade 12|Workplace Preparation (Grade 11 & 12 level)|50
THJ1O|Exploring Green Industries|Grade 9|Open (Grade 9 - 12 level)|155
THJ2O|Green Industries|Grade 10|Open (Grade 9 - 12 level)|1795
THJ3E|Green Industries|Grade 11|Workplace Preparation (Grade 11 & 12 level)|1310
THJ3M|Green Industries|Grade 11|University/College Preparation (Grade 11 & 12 level)|1550
THJ4E|Green Industries|Grade 12|Workplace Preparation (Grade 11 & 12 level)|255
THJ4M|Green Industries|Grade 12|University/College Preparation (Grade 11 & 12 level)|575
THK4T|Horticulture|Grade 12|College Delivered (Dual Credits)|20
THL3E|Green Industries: Landscaping Construction and Maintenance|Grade 11|Workplace Preparation (Grade 11 & 12 level)|55
THL4E|Green Industries: Landscaping Construction and Maintenance|Grade 12|Workplace Preparation (Grade 11 & 12 level)|35
THO3E|Green Industries: Forestry|Grade 11|Workplace Preparation (Grade 11 & 12 level)|15
THO4M|Green Industries: Forestry|Grade 12|University/College Preparation (Grade 11 & 12 level)|20
THP4T|Renewable Energy Technologies|Grade 12|College Delivered (Dual Credits)|<10
THS3M|Green Industries: Horticulture Management and Science|Grade 11|University/College Preparation (Grade 11 & 12 level)|100
THS4M|Green Industries: Horticulture Management and Science|Grade 12|University/College Preparation (Grade 11 & 12 level)|160
THT4T|Plant Propagation|Grade 12|College Delivered (Dual Credits)|35
TIA4T|Trades|Grade 12|College Delivered (Dual Credits)|120
TIB4T|Trades Exploration Lab|Grade 12|College Delivered (Dual Credits)|50
TIC4T|Introduction to Robotics|Grade 12|College Delivered (Dual Credits)|40
TIF4T|Mechanical Systems|Grade 12|College Delivered (Dual Credits)|60
TIJ1O|Exploring Technologies|Grade 9|Open (Grade 9 - 12 level)|51800
TJE4T|The Flight Attendant|Grade 12|College Delivered (Dual Credits)|65
TJH4T|Foundations of Tourism|Grade 12|College Delivered (Dual Credits)|30
TKA4T|Cook|Grade 12|College Delivered (Dual Credits)|60
TKA4Y|Cook|Grade 12|Apprenticeship Program (Dual Credits)|65
TKB4T|Food Preparation|Grade 12|College Delivered (Dual Credits)|30
TKF4T|Basic Food Theory|Grade 12|College Delivered (Dual Credits)|15
TKJ4T|Food Preparation and Theory|Grade 12|College Delivered (Dual Credits)|55
TKK4T|Customer Service and Restaurant Operations|Grade 12|College Delivered (Dual Credits)|25
TKL4T|Cuisine and Culture|Grade 12|College Delivered (Dual Credits)|45
TKU4T|Quantity Food Production|Grade 12|College Delivered (Dual Credits)|35
TKY4T|Bonne bouffe, belle bouffe|Grade 12|College Delivered (Dual Credits)|65
TLA4T|Welding|Grade 12|College Delivered (Dual Credits)|210
TLA4Y|Welding|Grade 12|Apprenticeship Program (Dual Credits)|120
TLG4T|Shielded Metal Arc Welding|Grade 12|College Delivered (Dual Credits)|20
TLH4T|Welding Fundamentals|Grade 12|College Delivered (Dual Credits)|155
TLI4T|Welding Techniques|Grade 12|College Delivered (Dual Credits)|195
TLJ4T|Welding and Cutting|Grade 12|College Delivered (Dual Credits)|85
TLL4T|Welding and Fabrication|Grade 12|College Delivered (Dual Credits)|295
TLM4T|T-joints - Welding|Grade 12|College Delivered (Dual Credits)|10
TLO4T|Oxy-Fuel Cutting, Welding, Brazing|Grade 12|College Delivered (Dual Credits)|10
TLS4T|Introduction au Soudage|Grade 12|College Delivered (Dual Credits)|25
TLU4T|Welding II|Grade 12|College Delivered (Dual Credits)|20
TMB4T|CNC Manual Programming|Grade 12|College Delivered (Dual Credits)|25
TMC3C|Manufacturing Technology: Computer Aided Manufacturing|Grade 11|College Preparation (Grade 11 & 12 level)|<10
TMD4T|CNC Applications|Grade 12|College Delivered (Dual Credits)|<10
TMH4T|Equipment Operation and Maintenance|Grade 12|College Delivered (Dual Credits)|125
TMI3C|Manufacturing Technology: Industrial Maintenance|Grade 11|College Preparation (Grade 11 & 12 level)|60
TMI4C|Manufacturing Technology: Industrial Maintenance|Grade 12|College Preparation (Grade 11 & 12 level)|<10
TMJ1O|Exploring Manufacturing Technology|Grade 9|Open (Grade 9 - 12 level)|575
TMJ2O|Manufacturing Technology|Grade 10|Open (Grade 9 - 12 level)|7890
TMJ3C|Manufacturing Technology|Grade 11|College Preparation (Grade 11 & 12 level)|6170
TMJ3E|Manufacturing Technology|Grade 11|Workplace Preparation (Grade 11 & 12 level)|2075
TMJ3M|Manufacturing Engineering Technology|Grade 11|University/College Preparation (Grade 11 & 12 level)|2235
TMJ4C|Manufacturing Technology|Grade 12|College Preparation (Grade 11 & 12 level)|2095
TMJ4E|Manufacturing Technology|Grade 12|Workplace Preparation (Grade 11 & 12 level)|710
TMJ4M|Manufacturing Engineering Technology|Grade 12|University/College Preparation (Grade 11 & 12 level)|985
TMM3M|Manufacturing Engineering Technology: Mechanical Engineering|Grade 11|University/College Preparation (Grade 11 & 12 level)|235
TMM4M|Manufacturing Engineering Technology: Mechanical Engineering|Grade 12|University/College Preparation (Grade 11 & 12 level)|80
TMO3E|Manufacturing Technology: Machine Operator|Grade 11|Workplace Preparation (Grade 11 & 12 level)|<10
TMO4E|Manufacturing Technology: Machine Operator|Grade 12|Workplace Preparation (Grade 11 & 12 level)|<10
TMP3C|Manufacturing Technology: Precision Machining|Grade 11|College Preparation (Grade 11 & 12 level)|145
TMP4C|Manufacturing Technology: Precision Machining|Grade 12|College Preparation (Grade 11 & 12 level)|45
TMR3M|Manufacturing Engineering Technology: Robotics and Control Systems|Grade 11|University/College Preparation (Grade 11 & 12 level)|485
TMR4M|Manufacturing Engineering Technology: Robotics and Control Systems|Grade 12|University/College Preparation (Grade 11 & 12 level)|210
TMS3E|Manufacturing Technology: Sheet Metal|Grade 11|Workplace Preparation (Grade 11 & 12 level)|25
TMT3C|Manufacturing Technology: Robotics and Control Systems Technician|Grade 11|College Preparation (Grade 11 & 12 level)|15
TMW3E|Manufacturing Technology: Welding|Grade 11|Workplace Preparation (Grade 11 & 12 level)|1120
TMW4E|Manufacturing Technology: Welding|Grade 12|Workplace Preparation (Grade 11 & 12 level)|510
TMY3C|Manufacturing Technology: Welding Technician|Grade 11|College Preparation (Grade 11 & 12 level)|775
TMY4C|Manufacturing Technology: Welding Technician|Grade 12|College Preparation (Grade 11 & 12 level)|290
TNA4Y|Electrician: Construction and Maintenance|Grade 12|Apprenticeship Program (Dual Credits)|310
TNC4T|Electrical Fundamentals|Grade 12|College Delivered (Dual Credits)|415
TNC4Y|Electrical Fundamentals|Grade 12|Apprenticeship Program (Dual Credits)|50
TND4T|Basic Electrical Installation|Grade 12|College Delivered (Dual Credits)|85
TNE4T|Initiation à l'électricité|Grade 12|College Delivered (Dual Credits)|60
TNJ4T|Electrical Construction Skills Training|Grade 12|College Delivered (Dual Credits)|100
TNK4T|Electrical Installation|Grade 12|College Delivered (Dual Credits)|20
TNL4T|Electrician Trade Safety|Grade 12|College Delivered (Dual Credits)|<10
TNM4T|Electrical and Fuel Systems|Grade 12|College Delivered (Dual Credits)|25
TNN4T|Electrical Techniques - Theory|Grade 12|College Delivered (Dual Credits)|10
TNO4T|Electrical Techniques - Practical|Grade 12|College Delivered (Dual Credits)|85
TNP4T|Basic Electrical Wiring|Grade 12|College Delivered (Dual Credits)|55
TOA4T|Gerontology|Grade 12|College Delivered (Dual Credits)|20
TOB4T|Learning Through Play|Grade 12|College Delivered (Dual Credits)|135
TOE4T|Child and Youth Worker|Grade 12|College Delivered (Dual Credits)|<10
TOE4Y|Child and Youth Worker|Grade 12|Apprenticeship Program (Dual Credits)|<10
TOF4T|Child Development|Grade 12|College Delivered (Dual Credits)|110
TOJ4C|Child Development and Gerontology|Grade 12|College Preparation (Grade 11 & 12 level)|945
TOP4T|Child and Youth Practice|Grade 12|College Delivered (Dual Credits)|15
TOQ4T|Early Childhood Education|Grade 12|College Delivered (Dual Credits)|140
TOU4T|Activity Programming|Grade 12|College Delivered (Dual Credits)|10
TOX4T|Creative Arts|Grade 12|College Delivered (Dual Credits)|15
TPJ1O|Exploring Health Care|Grade 9|Open (Grade 9 - 12 level)|110
TPJ2O|Health Care|Grade 10|Open (Grade 9 - 12 level)|2145
TPJ3C|Health Care|Grade 11|College Preparation (Grade 11 & 12 level)|1320
TPJ3M|Health Care|Grade 11|University/College Preparation (Grade 11 & 12 level)|6245
TPJ4C|Health Care|Grade 12|College Preparation (Grade 11 & 12 level)|425
TPJ4E|Health Care: Support Services|Grade 12|Workplace Preparation (Grade 11 & 12 level)|105
TPJ4M|Health Care|Grade 12|University/College Preparation (Grade 11 & 12 level)|2510
TPL3M|Health Care: Laboratory Services|Grade 11|University/College Preparation (Grade 11 & 12 level)|<10
TPM3M|Health Care: Nursing/Medical Services|Grade 11|University/College Preparation (Grade 11 & 12 level)|90
TPN4T|Profession of Nursing|Grade 12|College Delivered (Dual Credits)|10
TPP3M|Health Care: Pharmacy Services|Grade 11|University/College Preparation (Grade 11 & 12 level)|<10
TPT3M|Health Care: Therapy Services|Grade 11|University/College Preparation (Grade 11 & 12 level)|15
TQC4T|Introductory Multimedia|Grade 12|College Delivered (Dual Credits)|20
TQD4T|Multimedia and Design|Grade 12|College Delivered (Dual Credits)|10
TQJ4T|Entertainment and Media History|Grade 12|College Delivered (Dual Credits)|15
TQM4T|Media & Pop Culture|Grade 12|College Delivered (Dual Credits)|35
TRB4Y|General Machinist|Grade 12|Apprenticeship Program (Dual Credits)|15
TRC4Y|Industrial Mechanic Millwright|Grade 12|Apprenticeship Program (Dual Credits)|60
TRD4T|Metal Fabricator|Grade 12|College Delivered (Dual Credits)|<10
TRD4Y|Metal Fabricator|Grade 12|Apprenticeship Program (Dual Credits)|10
TRG4T|HVAC - Sheet Metal Fabrication|Grade 12|College Delivered (Dual Credits)|95
TRH4T|Basic Shop Practice|Grade 12|College Delivered (Dual Credits)|10
TRO4T|Tools and Machinery|Grade 12|College Delivered (Dual Credits)|<10
TRR4T|Industrial Millwright Mechanic Principles and Practice|Grade 12|College Delivered (Dual Credits)|15
TRS4T|Industrial Practices|Grade 12|College Delivered (Dual Credits)|15
TSA4T|Carpentry|Grade 12|College Delivered (Dual Credits)|15
TSA4Y|Carpentry|Grade 12|Apprenticeship Program (Dual Credits)|190
TSB4T|Plumbing|Grade 12|College Delivered (Dual Credits)|75
TSB4Y|Plumbing|Grade 12|Apprenticeship Program (Dual Credits)|110
TSC4T|Introduction to Residential Construction|Grade 12|College Delivered (Dual Credits)|95
TSD4T|Masonry|Grade 12|College Delivered (Dual Credits)|60
TSE4T|Carpentry Fundamentals|Grade 12|College Delivered (Dual Credits)|60
